Rank,Gameboy,Gameboy Color,Gameboy Advance,Nintendo DS,Nintendo 3DS,Nintendo DSI,NES,SNES,N64,Gamecube,Wii,Wii U,Switch,Sega SG-1000,Sega Master System,Sega Megadrive/Genesis,Sega GameGear,Sega 32X,Sega CD,Sega Saturn,Dreamcast,PSX,PS2,PS3,PS4,PSP,PS Vita,Amiga,TurboGrafx-16,Atari Lynx,DOS,MSX,MSX2,FBNeo,Neo Geo
110,Yoshi's Cookie,Spider-Man,Need for Speed: Most Wanted,The Dark Spire,Dead or Alive: Dimensions,Clubhouse Games Express: Family Favorites,Pinball,Indiana Jones' Greatest Adventures,WWF Attitude,Wave Race: Blue Storm,PokePark Wii: Pikachu's Adventure,Forma.8,Chained Echoes,,Sensible Soccer,Splatterhouse 2,Zool,,Road Avenger,Impact Racing,Giant Gram 2000,Pandemonium!,Atelier Iris 2: The Azoth of Destiny,Child of Light,GRIP: Combat Racing,MX vs. ATV: Untamed,Drive Girls,Rodland,TV Sports Football,,Tyrian,The Wraith,Wizardry: Proving Grounds of the Mad Overlord,Blade Master,World Heroes
111,Tetris 2,Spider-Man 2: The Sinister Six,Grand Theft Auto Advance,Mystery Dungeon: Shiren the Wanderer,Super Street Fighter IV: 3D Edition,Clubhouse Games Express: Strategy Pack,S.C.A.T.: Special Cybernetic Attack Team,Skyblazer,WWF War Zone,Capcom vs. SNK 2 EO,PokePark 2: Wonders Beyond,Rive,Sifu,,Wimbledon,Splatterhouse 3,Paperboy,,Road Rash,Wipeout 2097,Virtua Tennis 2,Rayman 2: The Great Escape,Shin Megami Tensei: Nocturne,Kingdom Hearts HD 2.5 ReMIX,The Evil Within 2,Need for Speed Carbon: Own the City,Valhalla Knights 3,Parasol Stars,TV Sports Hockey,,Terminal Velocity,Hero,Wizardry II: Knight of Diamonds,Hammerin' Harry,Art of Fighting 2
112,Tetris Blast,Spongebob SquarePants: Legend of the Lost Spatula,Tom Clancy's Rainbow Six: Rogue Spear,Diddy Kong Racing DS,BlazBlue: Continuum Shift II,Dracula: Undead Awakening,Shadow of the Ninja,Batman Returns,WCW Nitro,Beach Spikers: Virtua Beach Volleyball,Wii Play,Jotun: Valhalla Edition,Okami HD,,Wimbledon II,Battletoads,Paperboy 2,,Samurai Shodown,Need for Speed,World Series Baseball 2K1,Mega Man Legends 2,Shin Megami Tensei: Digital Devil Saga 2,Assassin's Creed IV: Black Flag,Kingdom Hearts HD I.5 + II.5 Remix,Crazy Taxi: Fare Wars,ScourgeBringer,Bubble Bobble,Ballistix,,Blake Stone: Aliens of Gold,Cabbage Patch Kids,Wizardry III: Legacy of Llylgamyn,Kung-Fu Master,Art of Fighting
113,Dr. Franken,"Austin Powers: Oh, Behave!",Tom Clancy's Splinter Cell,Mario Hoops 3-on-3,Tales of the Abyss,Prehistorik Man,Solar Jetman,WeaponLord,WCW Mayhem,Virtua Striker 2002,Wii Play Motion,Mighty No. 9,Final Fantasy X/X-2 HD Remaster,,Tennis Ace,Battletoads & Double Dragon,California Games,,Shadow of the Beast II,Croc: Legend of the Gobbos,World Series Baseball 2K2,Strider 2,Devil Summoner: Raidou Kuzunoha vs. the Soulless Army,God of War: Collection,Slay the Spire,DiRT 2,UnMetal,Magic Pockets,Vigilante,,Bio Menace,Star Force,Ultima IV: Quest of the Avatar,Mystic Riders,Fatal Fury
114,The Bugs Bunny Crazy Castle,Street Fighter Alpha,Tom Clancy's Splinter Cell: Pandora Tomorrow,Sonic Chronicles: The Dark Brotherhood,Kingdom Hearts 3D: Dream Drop Distance,Mighty Flip Champs! DX,Star Soldier,Earth Defense Force,Ready 2 Rumble Boxing,Sphinx and the Cursed Mummy,Link's Crossbow Training,Angry Video Game Nerd Adventures,Final Fantasy XII: The Zodiac Age,,Super Tennis,X-Men,Winter Olympics: Lillehammer '94,,Sherlock Holmes: Consulting Detective,Rayman,NFL 2K2,Street Fighter EX2 Plus,Persona 3,OKAMI HD,Street Fighter V,Brave Story: New Traveler,Habroxia 2,James Pond,"Yo, Bro",,The Incredible Machine,Star Soldier,Dungeon Master,Air Duel,Kabuki Klash
115,Bugs Bunny Crazy Castle 2,Super Breakout,Max Payne Advance,Fossil Fighters,Final Fantasy Explorers,Real Football 2009,Tennis,Flashback: The Quest for Identity,Ready 2 Rumble Boxing: Round 2,Super Monkey Ball,Endless Ocean,Noitu Love: Devolution,Crisis Core: Final Fantasy VII Reunion,,Olympic Gold,X-Men 2: Clone Wars,Olympic Gold: Barcelona '92,,Sherlock Holmes: Consulting Detective Vol. II,Earthworm Jim 2,NHL 2K,Tekken,Wild Arms 3,Rock Band 2,Destiny,LocoRoco,Sense: A Cyberpunk Ghost Story,James Pond 3: Operation Starfish,Moto Roader,,Lode Runner: The Legend Returns,Fantasy Zone,Wing Commander (Fan translation exists),Street Fighter Alpha 3,Breakers
116,Pac-Man,Test Drive 6,Digimon Battle Spirit,Fossil Fighters: Champions,Hyrule Warriors Legends,Gameloft Classics: Arcade,The Immortal,Super Turrican 2,NFL Blitz,Super Monkey Ball 2,Endless Ocean 2: Adventures of the Deep,Swords & Soldiers,Dragon Ball FighterZ,,California Games II,Spider-Man and Venom: Maximum Carnage,World Cup USA 94,,Dynamic Country Club,Gex,NHL 2K2,Dead or Alive,Wild Arms 4,The Sly Collection,Assassin's Creed Odyssey,Lumines,Russian Subway Dogs,Alfred Chicken,Moto Roader II,,One Must Fall: 2097,Astro Marine Corps,First Queen,Marvel vs. Capcom: Clash of Super Heroes,Ninja Master's
117,Ms. Pac-Man,Tintin: Prisoners of the Sun,Medal of Honor: Underground,Dementium: The Ward,Yo-kai Watch,Let's Golf,Abadox,Final Fight 2,NFL Blitz 2000,Bomberman Generation,Big Brain Academy: Wii Degree,Scram Kitty and his Buddy on Rails,Tony Hawk's Pro Skater 1 + 2,,Summer Games,The Punisher,Super Off Road,,Soul Star,Pandemonium!,NCAA College Football 2K2,Bushido Blade,Wild Arms 5,Disgaea 4: A Promise Unforgotten,Dying Light,Metal Gear Acid,Horizon Chase Turbo,Zool 2,F1 Circus '91,,Street Fighter II,Navy Moves,Arsys Star Cruiser II,X-Men: Children of the Atom,Savage Reign
118,Pinball: Revenge of the Gator,Top Gear Pocket,Medal of Honor: Infiltrator,Dementium II,Yo-kai Watch 2: Psychic Specters,My Exotic Farm,Adventure Island III,Hagane: The Final Conflict,NBA Hangtime,Bomberman Jetters,Rabbids Go Home,Armillo,Overcooked! All You Can Eat,,World Games,Captain America and the Avengers,Surf Ninjas,,Stellar-Fire,Worms,Sega Marine Fishing,Bushido Blade 2,Xenosaga Episode II: Jenseits von Gut und Böse,Assassin's Creed III,Cannon Brawl,Metal Gear Acid 2,Knightin'+,Brian the Lion,Populous,,Mortal Kombat,Survivor,Otogirisou,Marvel Super Heroes,Galaxy Fight
119,Vegas Stakes,Top Gear Pocket 2,Activision Anthology,Heroes of Mana,Yo-kai Watch 3,My Farm,Adventures of Lolo 3,Axelay,NBA Jam 99,Billy Hatcher and the Giant Egg,Rayman Raving Rabbids,Knytt Underground,Overcooked 2,,Air Rescue,Teenage Mutant Ninja Turtles: The Hyperstone Heist,Ren & Stimpy: Quest for the Shaven Yak,,Star Wars: Rebel Assault,Theme Park,Sega Bass Fishing,Ehrgeiz,Zone of the Enders,Mass Effect,The Legend of Heroes: Trails of Cold Steel II,The Warriors,Bucket Knight,Oscar,Prince of Persia,,Mortal Kombat II,Sol Negro,Exciting Baseball,Mortal Kombat II,Karnov's Revenge
120,Castlevania Legends,Top Gear Rally,Alien Hominid,Children of Mana,Inazuma Eleven GO,My Asian Farm,Arkanoid,Run Saber,Kobe Bryant in NBA Courtside,Sonic Riders,Rayman Raving Rabbids 2,Chasing Aurora,Moving Out,,Space Harrier 3-D,The Lion King,Mighty Morphin Power Rangers,,"Terminator, The",SimCity 2000,Sega Bass Fishing 2,Tobal No. 1,Zone of the Enders: The 2nd Runner,Mortal Kombat,Need for Speed: Rivals,Killzone: Liberation,EMMA: Lost in Memories,Cool Spot,Lemmings,,Sensible World of Soccer,Mot,Exciting Boxing,Bad Dudes vs. DragonNinja,Voltage Fighter Gowcaizer
121,Serpent,Toy Story Racer,Lord of the Rings: The Two Towers,Viewtiful Joe: Double Trouble!,Detective Pikachu,Fieldrunners,Bomberman II,Joe & Mac,Wayne Gretzky's 3D Hockey,Crash Bandicoot: The Wrath of Cortex,De Blob 2,Cubemen 2,Streets of Rage 4,,Maze Hunter 3-D,The Jungle Book,Mighty Morphin Power Rangers: The Movie,,Third World War,Command & Conquer,Soul Fighter,Battle Arena Toshinden,Ace Combat 04: Shattered Skies,Disgaea 3: Absence of Justice,13 Sentinels: Aegis Rim,Spider-Man: Friend or Foe,Awesome Pea 2,Aladdin,Street Fighter II: Champion Edition,,FIFA International Soccer,Cobra's Arc,Exciting Billiards,Midnight Resistance,Pleasure Goal
122,WWF Superstars,Turok: Rage Wars,Lord of the Rings: The Return of the King,Trace Memory,Pokemon Mystery Dungeon: Gates to Infinity,Plants vs. Zombies,Bonk's Adventure,Cybernator,All-Star Baseball 99,Crash Nitro Kart,The Godfather: Blackhand Edition,Super Meat Boy,LEGO Star Wars: The Skywalker Saga,,Poseidon Wars 3-D,Toy Story,VR Troopers,,Time Gal,Warcraft II: The Dark Saga,Zombie Revenge,Rival Schools: United by Fate,Ace Combat 5: The Unsung War,Resident Evil 5,Dragon's Crown Pro,Generation of Chaos,Mushroom Heroes,The Lion King,Fatal Fury 2,,Championship Manager 2,Phantis,Exciting Judo,Captain America and The Avengers,Football Frenzy
123,Space Invaders,Turok 2: Seeds of Evil,Lord of the Rings: The Third Age,Last Window: The Secret of Cape West,Pokemon Super Mystery Dungeon,Bookworm,Captain Skyhawk,King of Dragons,All-Star Baseball 2000,Crash Tag Team Racing,Bully: Scholarship Edition,Fatal Frame: Maiden of Black Water,Minecraft,,Zaxxon 3-D,Garfield: Caught in the Act,Battletoads,,Trivial Pursuit,Romance of the Three Kingdoms IV,Typing of the Dead,Darkstalkers 3,Ace Combat Zero: The Belkan War,Resistance: Fall of Man,Pillars of Eternity II: Deadfire,Growlanser: Wayfarer of Time,Guard Duty,Golden Axe,World Heroes 2,,NHL Hockey,Game Over,Hyper Sports 3,Joe & Mac: Caveman Ninja,Riding Hero
124,Galaga & Galaxian,Tweety's High-Flying Adventure,Harry Potter and the Sorcerer's Stone,Ace Attorney Investigations: Miles Edgeworth,Pokemon Picross,Crash-Course Domo,Cobra Triangle,Knights of the Round,Major League Baseball featuring Ken Griffey Jr.,Gauntlet: Dark Legacy,World of Goo,Disney Infinity,Terraria,,Blade Eagle 3-D,Cool Spot,Double Dragon,,Ultraverse Prime,Dragon Ball Z: The Legend,Confidential Mission,X-Men vs. Street Fighter,Armored Core 2,Sleeping Dogs,Dark Rose Valkyrie,Gurumin: A Monstrous Adventure,Twin Breaker: A Sacred Symbols Adventure,Strider,Art of Fighting,,Madden NFL,Fernando Martín Basket Master,Gradius,Karnov,Aggressors of Dark Kombat
125,Centipede,Wacky Races,Harry Potter and the Chamber of Secrets,Shin Megami Tensei: Devil Survivor,Pokemon Rumble Blast,Box Pusher,Conquest of the Crystal Palace,Metal Warriors,Ken Griffey Jr.'s Slugfest,Spyro: Enter the Dragonfly,Bit.Trip Complete,Disney Infinity 2.0,Civilization VI,,Missile Defense 3-D,James Pond 2: Codename RoboCod,Jeopardy!,,Urusei Yatsura: Dear My Friends,Shining Force III Scenario 2,Death Crimson 2,Street Fighter Alpha 2,Armored Core 3,Star Ocean: The Last Hope International,Devil May Cry 4: Special Edition,Harvest Moon: Hero of Leaf Valley,Super Monkey Ball Banana Splitz,Batman: The Movie,Flash Hiders,,Links: The Challenge of Golf,Wrestle Mania,TwinBee,Chelnov: Atomic Runner,Double Dragon
126,Frogger,Worms Armageddon,Harry Potter and the Prisoner of Azkaban,Shin Megami Tensei: Strange Journey,Pokemon Rumble World,Sokoban DS,Darkwing Duck,Paladin's Quest,International Superstar Soccer 64,Spyro: A Hero's Tail,Lost in Shadow,Disney Infinity 3.0,Phoenix Wright: Ace Attorney Trilogy,,Thunder Blade,Boogerman: A Pick and Flick Adventure,Wheel of Fortune,,Wheel of Fortune,Shining Force III Scenario 3,Outtrigger,Mortal Kombat Trilogy,Metal Gear Solid 2: Substance,NIER,Final Fantasy IX,Harvest Moon: Boy & Girl,The Lost Child,RoboCop,Asuka 120% Maxima,,PGA Tour Golf,Commando,Galaga '88,Wizard Fire,Ragnagard
127,Donkey Kong,X-Men: Wolverine's Rage,Harry Potter: Quidditch World Cup,Disgaea DS,Pokemon Art Academy,Calculator,Defenders of the Crown,Robotrek,International Superstar Soccer 98,The Legend of Spyro: A New Beginning,FlingSmash,Skylanders Giants,The Great Ace Attorney Chronicles,,Galaxy Force,Chuck Rock,PGA Tour Golf,,Who Shot Johnny Rock?,Sonic the Fighters,Quake III Arena,WWF SmackDown! 2: Know Your Role,Metal Gear Solid 3: Subsistence,Need for Speed: Hot Pursuit,Hitman 2,PoPoLoCrois,Revenant Dogma,Terminator 2: Judgment Day,Puyo Puyo CD,,Microsoft Flight Simulator 5.0,Spy Hunter,Konami's Soccer,Gate of Doom,Neo Bomberman
128,Quarth,X-Men: Mutant Academy,Star Wars: Flight of the Falcon,Luminous Arc,The Alliance Alive,Nintendo DSi Browser,Demon Sword,7th Saga,FIFA Soccer 64,Pac-Man World 2,Go Vacation,Skylanders Swap Force,AI: The Somnium Files,,Line of Fire,Chuck Rock II: Son of Chuck,PGA Tour Golf II,,Wild Woody,Gokujou Parodius Da! Deluxe Pack,Unreal Tournament,WWF SmackDown!,Manhunt,50 Cent: Blood on the Sand,Crash Team Racing: Nitro-Fueled,Power Stone Collection,Chronus Arc,Total Recall,Columns,,F-15 Strike Eagle II,Exoide-Z,Green Beret,Boogie Wings,Puzzle De Pon! R
129,Motocross Maniacs,Yu-Gi-Oh! Dark Duel Stories,Star Wars Episode II: Attack of the Clones,Luminous Arc 2,Ever Oasis,Nintendo DSi Camera,Double Dribble,Arkanoid: Doh It Again,FIFA: Road to World Cup 98,Pac-Man World 3,Red Steel,Skylanders Trap Team,Danganronpa Decadence,,Operation Wolf,Pitfall: The Mayan Adventure,Frank Thomas Big Hurt Baseball,,Wing Commander,Darius Gaiden,Soldier of Fortune,WCW/nWo Thunder,The Warriors,Ace Combat: Assault Horizon,The Elder Scrolls V: Skyrim Special Edition,Hammerin' Hero,Asdivine Hearts II,Virus,Gomola Speed,,Falcon 3.0,Hover Attack,Scramble,Edward Randy,Fight Fever
130,Spy vs Spy,Speedball 2: Brutal Deluxe,Star Wars Episode III: Revenge of the Sith,Lock's Quest,Hey! Pikmin,Nintendo DSi Sound,Dragon Spirit: The New Legend,FIFA International Soccer,Madden NFL 99,Pac-Man Vs.,Call of Duty 3,Skylanders SuperChargers,Bug Fables: The Everlasting Sapling,,Laser Ghost,OutRunners,RBI Baseball '94,,Wolfchild,Thunder Force V,Rainbow Six,Tony Hawk's Pro Skater 4,Max Payne,Afrika,Uncharted: The Lost Legacy,Coded Arms,Bonds of the Skies,Exile,Override,,Comanche: Maximum Overkill,1942,Gyruss,Night Slashers,Matrimelee
131,Star Wars,Asteroids,Dragon Ball Z: The Legacy of Goku,Drawn to Life,Chibi-Robo! Zip Lash,Foto Face: The Face Stealer Strikes,Eliminator Boat Duel,NBA Hangtime,Madden NFL 2000,Namco Museum,Medal of Honor: Heroes 2,Skylanders Imaginators,Eastward,,Space Gun,Steel Empire,NFL '95,,Wonder Dog,In the Hunt,StarLancer,Crash Bash,Max Payne 2: The Fall of Max Payne,Afro Samurai,Days Gone,Ghost in the Shell: Stand Alone Complex,Starlight Inception,The Legend of Kyrandia,Barunba,,MechWarrior 2,Toobin',Pennant Race,Vapor Trail,Quiz King of Fighters
132,Star Wars: The Empire Strikes Back,Army Men: Sarge's Heroes 2,Dragon Ball Z: Supersonic Warriors,Drawn to Life: The Next Chapter,Codename: S.T.E.A.M.,Faceez,Fire Emblem Gaiden,NCAA Basketball,Madden NFL 2001,Godzilla: Destroy All Monsters Melee,Geometry Wars: Galaxies,LEGO Batman 2: DC Super Heroes,The Messenger,,Rescue Mission,Elemental Master,Madden '95,,Yumemi Mystery Mansion,Metal Slug,Phantasy Star Online Ver. 2,Bloody Roar 2,Tom Clancy's Splinter Cell,After Burner Climax,Call of Duty: Modern Warfare,Star Wars: Battlefront II,Reality Fighters,Lure of the Temptress,Darius Plus,,Elite,Guttang Gottong,Hai no Majutsushi,Tumble Pop,Quiz Daisousa Sen
133,The Legend of Zelda: Oracle of Seasons,Austin Powers: Welcome to My Underground Lair!,Naruto: Ninja Council,Feel the Magic: XY/XX,Mario Golf: World Tour,Faceez: Monsters!,Flying Warriors,Ms. Pac-Man,Quest 64,Bloody Roar: Primal Fury,Dragon Ball Z: Budokai Tenkaichi 2,LEGO Batman 3: Beyond Gotham,Axiom Verge,,Dead Angle,Gaiares,WWF Raw,,Devastator,Strikers 1945,Alien Front Online,The Legend of Legaia,Tom Clancy's Splinter Cell: Chaos Theory,Alice: Madness Returns,The Dark Pictures Anthology: Man of Medan,Brothers in Arms: D-Day,Ninja Gaiden Sigma Plus,Flight of the Amazon Queen,Darius Alpha,,Pool of Radiance,Sparkie,Masters of the Universe: The Super Adventure,Diet Go Go,Chibi Marukochan Deluxe Quiz
134,The Jungle Book,Balloon Fight GB,Naruto: Ninja Council 2,Spectrobes,Mario Tennis Open,Snapdots,Galaga,Top Gear 2,Aidyn Chronicles: The First Mage,WWE Day of Reckoning,Dragon Ball Z: Budokai Tenkaichi 3,LEGO Marvel Super Heroes,SteamWorld Dig 2,,Rambo III,Hellfire,WWF Steel Cage Challenge,,Burai,Strikers 1945 II,Toy Commander,Point Blank,Tom Clancy's Splinter Cell: Pandora Tomorrow,Alien: Isolation,The Blackout Club,Call of Duty: Roads to Victory,Ninja Gaiden Sigma 2 Plus,Gobliins 2,Super Darius II,,Curse of the Azure Bonds,Dragon Attack,Arkanoid II: Revenge of Doh,Rohga: Armor Force,Janshin Densetsu: Quest of Jongmaster
135,Aladdin,Beavis and Butt-Head,One Piece,Spectrobes: Beyond the Portals,Mario Party: Island Tour,Decathlon 2012,Goal!,Firepower 2000,Shadowgate 64: Trials of the Four Towers,WWE Day of Reckoning 2,Naruto Shippuden: Clash of Ninja Revolution 3,LEGO Marvel's Avengers,Bastion,,Predator 2,Fire Shark,Arch Rivals,,Aoki Ookami to Shiroki Meshika: Genchou Hishi,Gunbird,Pen Pen TriIcelon,Time Crisis,Hitman 2: Silent Assassin,Aliens: Colonial Marines,Resident Evil Revelations 2,Syphon Filter: Logan's Shadow,Deception IV: Blood Ties,Cruise for a Corpse,CrossFire,,Champions of Krynn,Gulkave,Rainbow Islands,RoboCop,Bakatonosama Mahjong Manyuki
136,The Lion King,Billy Bob's Huntin' 'n' Fishin',Yu-Gi-Oh! The Eternal Duelist Soul,Mario & Sonic at the Olympic Games,Mario Party: The Top 100,Art of Ink,GunNac,The Adventures of Batman and Robin,Hexen,WWE WrestleMania X8,Bleach: Shattered Blade,LEGO The Hobbit,Transistor,,The Terminator,Truxton,Nazo Puyo,,Cyborg 009,Street Fighter: The Movie,Seaman,Ace Combat 2,Hitman: Blood Money,Alien vs Predator,Killing Floor 2,SOCOM: U.S. Navy SEALs Fireteam Bravo,Farming Simulator 16,Future Wars,Digital Champ: Battle Boxing,,Might and Magic III: Isles of Terra,Aoki Ookami to Shiroki Mejika (Genghis Khan),Operation Wolf,Double Dragon,Idol Mahjong Final Romance 2
137,Darkwing Duck,BattleTanx,Yu-Gi-Oh! Dungeon Dice Monsters,Worms: Open Warfare 2,Mario Sports Superstars,Fashion Tycoon,Ironsword: Wizards & Warriors II,Out of This World,Rampage 2: Universal Tour,WWE WrestleMania XIX,One Piece: Unlimited Adventure,LEGO Jurassic World,Monster Boy and the Cursed Kingdom,,Alien 3,Whip Rush,Nazo Puyo 2,,Dragon's Lair,Street Fighter Alpha,Mr. Driller,Ace Combat 3: Electrosphere,Mercenaries: Playground of Destruction,LittleBigPlanet,Hunt: Showdown,SOCOM: U.S. Navy SEALs Fireteam Bravo 2,Touch My Katamari,Operation Stealth,After Burner II,,Might and Magic IV: Clouds of Xeen,Nobunaga no Yabou (Nobunaga's Ambition),Double Dragon,Double Dragon II: The Revenge,Mahjong Kyo Retsuden
138,TaleSpin,Boarder Zone,Yu-Gi-Oh! Worldwide Edition,Nanostray,Yo-kai Watch 2: Fleshy Souls,Hair Salon,Jackie Chan's Action Kung Fu,Tetris & Dr. Mario,Rampage: World Tour,Def Jam: Fight for NY,Ghostbusters: The Video Game,LEGO Dimensions,Rayman Legends: Definitive Edition,,RoboCop 3,Granada,Woody Pop,,Game no Kanzume: Otokuyou,X-Men: Children of the Atom,Wetrix+,Armored Core,Freedom Fighters,Lollipop Chainsaw,The Forest,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,Conception II: Children of the Seven Stars,Elvira: Mistress of the Dark,Space Harrier,,Might and Magic V: Darkside of Xeen,San-goku-shi (Romance of the Three Kingdoms),Bad Dudes,Renegade,Minasan no Okagesamadesu! Dai Sugoroku Taikai
139,Chip 'n Dale: Rescue Rangers,Bob the Builder: Fix It Fun!,Yu-Gi-Oh! The Sacred Cards,Nanostray 2,Captain Toad: Treasure Tracker,My Aquarium,Kabuki Quantum Fighter,Congo's Caper,Robotron 64,True Crime: Streets of LA,Spider-Man: Shattered Dimensions,The LEGO Movie Videogame,Guacamelee! 2,,Indiana Jones and the Last Crusade,Grind Stormer,Mappy,,Dennin Aleste,King of Fighters '95,Puyo Puyo Fever,King's Field,The Getaway,Lone Survivor: The Director's Cut,Back 4 Blood,SOCOM: Tactical Strike,Trillion: God of Destruction,Elvira II: The Jaws of Cerberus,OutRun,,Wizardry VI: Bane of the Cosmic Forge,Flight Simulator,Super Wonder Boy,The Combatribes,Syougi no Tatsujin
140,Garfield Labyrinth,Bugs Bunny: Crazy Castle 3,Yu-Gi-Oh! Reshef of Destruction,Electroplankton,Project X Zone,My Aquarium 2,Kiwi Kraze,Ardy Lightfoot,Namco Museum 64,True Crime: New York City,Batman: The Brave and the Bold,LEGO Star Wars: The Force Awakens,Yoku's Island Express,,Hook,Sub-Terrania,Berlin Wall,,Power Factory Featuring C+C Music Factory,King of Fighters '96,Super Puzzle Fighter II Turbo,King's Field II,Black,Lost Dimension,Dying Light 2 Stay Human,LittleBigPlanet PSP,Dragon Fantasy: Book II,Waxworks,Chase H.Q.,,Wizardry VII: Crusaders of the Dark Savant,Golgo 13: Wolf's Den,Alex Kidd in Miracle World,WWF WrestleFest,Pochi and Nyaa
141,Spot: The Video Game,Bugs Bunny: Crazy Castle 4,Columns Crown,Big Brain Academy,Kirby Fighters Deluxe,myLifeCollected,Kung Fu,Captain Commando,Ms. Pac-Man: Maze Madness,Need for Speed: Most Wanted,Skylanders Giants,Just Dance 2014,River City Girls,,Jurassic Park,Red Zone,Centipede,,Rent A Hero,King of Fighters '97,Sonic Shuffle,Echo Night,Kill.Switch,Lost Planet 2,The Dark Pictures Anthology: The Devil in Me,Gradius Collection,Sine Mora,Ultima VI: The False Prophet,Operation Wolf,,The Bard's Tale,Lupin the Third,Phantasy Star,Block Out,Panic Bomber
142,NBA Jam,Buzz Lightyear of Star Command,ChuChu Rocket!,Brain Age 2: More Training in Minutes a Day!,Team Kirby Clash Deluxe,AiRace,Legacy of the Wizard,Super Double Dragon,Buck Bumble,Need for Speed: Underground,Cursed Mountain,Just Dance 2015,No More Heroes III,,Tom and Jerry: The Movie,Skeleton Krew,Aerial Assault,,Ranma 1/2: Byakuran Aika,Real Bout Fatal Fury Special,Fur Fighters,Shadow Tower,Psi-Ops: The Mindgate Conspiracy,Lost Planet: Extreme Condition,The Quarry,Gods Eater Burst,Dead or Alive 5 Plus,Pool of Radiance,Double Dragon II: The Revenge,,The Bard's Tale III: Thief of Fate,Doraemon,Wonder Boy in Monster Land,Ikari Warriors,Neo Mr. Do!
143,NBA Jam: Tournament Edition,Caesars Palace II,Puyo Pop,Pokemon Conquest,Sushi Striker: The Way of Sushido,AiRace: Tunnel,Lode Runner,Lemmings,Iggy's Reckin' Balls,Need for Speed: Underground 2,Calling,Just Dance 2016,Immortals Fenyx Rising,,Cool Spot,Sword of Vermilion,Air Rescue,,Detonator Orgun,Real Bout Fatal Fury,MDK 2,Brigandine,Second Sight,Machinarium,Evil Dead: The Game,Final Fantasy,2064: Read Only Memories,Champions of Krynn,Ghouls 'n Ghosts,,Wasteland,Obake no Q-Tarou: WanWan Panic,Castlevania (Akumajou Dracula),P.O.W.: Prisoners of War,Ghostlop
144,FIFA International Soccer,Carmageddon,Puyo Pop Fever,Super Princess Peach,Metal Gear Solid: Snake Eater 3D,GO Series: Picdun,Mappy-Land,WWF Royal Rumble,Rat Attack,Need for Speed: Hot Pursuit 2,Ju-On: The Grudge,Just Dance 2017,Child of Light,,Chuck Rock,Fatal Labyrinth,Chase H.Q.,,Tenbu Mega CD Special,World Heroes Perfect,Donald Duck: Goin' Quackers,Ogre Battle: The March of the Black Queen,XIII,Mafia II,7 Days to Die,Final Fantasy II,Atomic Ninjas,Drakkhen,1943 Kai,,Darklands,Kiteretsu Daihyakka,Life Force (Salamander),Guerrilla War,Last Hope (late official release)
145,World Cup 98,Chalvo 55,Dr. Mario / Puzzle League,Polarium,Nano Assault,GO Series: Defense Wars,Mario Bros.,Tiny Toon Adventures: Buster Busts Loose!,Army Men: Sarge's Heroes 2,Def Jam Vendetta,Data East Arcade Classics,Just Dance 2018,Valkyria Chronicles 4,,Chuck Rock II: Son of Chuck,Ys III: Wanderers from Ys,OutRun Europa,,Anett Futatabi,Samurai Shodown IV,Frogger 2: Swampy's Revenge,Tactics Ogre: Let Us Cling Together,Baldur's Gate: Dark Alliance,Plants vs. Zombies,White Noise 2,Ys: The Oath in Felghana,Attack on Titan,Abandoned Places,Salamander,,Realms of Arkania: Blade of Destiny,Pro Yakyuu: Family Stadium,Daidasso,Psycho Soldier,Treasure of the Caribbean
146,Track & Field,Chessmaster,Tetris Worlds,Henry Hatsworth in the Puzzling Adventure,LEGO City Undercover: The Chase Begins,Zombie Skape,Popeye,TMNT: Tournament Fighters,Army Men: Air Combat,Burnout 2: Point of Impact,SNK Arcade Classics Vol. 1,Wii Sports Club,Hyrule Warriors: Definitive Edition,,Earthworm Jim,King's Bounty,Frogger,,Battlecorps,Samurai Shodown III,Spider-Man,Vandal Hearts,Baldur's Gate: Dark Alliance II,PlayStation All-Stars Battle Royale,Friday the 13th: The Game,Puzzle Quest: Challenge of the Warlords,Mortal Kombat,Faery Tale Adventure,Bomberman,,Realms of Arkania: Star Trail,Senjou no Ookami (Commando),Youkai Yashiki,Beast Busters,Irrmgard
147,F-1 Race,Toy Story 2,Super Puzzle Fighter II Turbo,Ivy the Kiwi?,Disney Magical World,Divergent Shift,Ninja JaJaMaru-kun,Brain Lord,Armorines: Project S.W.A.R.M.,Madden NFL 2002,Pinball Hall of Fame: The Williams Collection,Mario Tennis: Ultra Smash,Fire Emblem Warriors: Three Hopes,,Ecco: The Tides of Time,Starflight,World Class Leaderboard Golf,,Black Hole Assault,Groove on Fight,Looney Tunes: Space Race,Vandal Hearts II,Champions of Norrath,Prince of Persia,Dead by Daylight,Space Invaders Extreme,FIFA 15,Heimdall,Drop Off,,Albion,Bokosuka Wars,Magic Knight Rayearth,Prehistoric Isle in 1930,Kraut Buster
